team,player
Shamrock Rovers FC,Rohan Ricketts
Shamrock Rovers FC,Shane Robinson
Shamrock Rovers FC,Fran Rooney
Shamrock Rovers FC,Ger Rowe
Shamrock Rovers FC,Mark Rutherford
Shamrock Rovers FC,Barry Ryan
Shamrock Rovers FC,Richie Ryan
Shamrock Rovers FC,Pat Scully
Shamrock Rovers FC,Paul Sharry
Shamrock Rovers FC,Gary Shaw
Shamrock Rovers FC,Brian Shelley
Shamrock Rovers FC,Karl Sheppard
Shamrock Rovers FC,Tony Sheridan
Shamrock Rovers FC,Jason Sherlock
Shamrock Rovers FC,Keith Shevlin
Shamrock Rovers FC,Craig Sives
Shamrock Rovers FC,Mick Smyth
Shamrock Rovers FC,Johnny Squires
Shamrock Rovers FC,Neville Steedman
Shamrock Rovers FC,Enda Stevens
Shamrock Rovers FC,Thomas Stewart
Shamrock Rovers FC,John Stiles
Shamrock Rovers FC,Paul Stokes
Shamrock Rovers FC,Fuad Sule
Shamrock Rovers FC,Derek Swan
Shamrock Rovers FC,Noel Synnott
Shamrock Rovers FC,Bobby Tambling
Shamrock Rovers FC,Neil Tarrant
Shamrock Rovers FC,Ryan Thompson
Shamrock Rovers FC,John Toal
Shamrock Rovers FC,Derek Tracey
Shamrock Rovers FC,Mark Travers
Shamrock Rovers FC,Ray Treacy
Shamrock Rovers FC,Liam Tuohy
Shamrock Rovers FC,Chris Turner
Shamrock Rovers FC,Paddy Turner
Shamrock Rovers FC,Gary Twigg
Shamrock Rovers FC,Brian Tyrrell
Shamrock Rovers FC,David Tyrrell
Shamrock Rovers FC,Pascal Vaudequin
Shamrock Rovers FC,Orhan Vojic
Shamrock Rovers FC,Maxime Vuille
Shamrock Rovers FC,Tony Ward
Shamrock Rovers FC,Fran Watters
Shamrock Rovers FC,Sean Webb
Shamrock Rovers FC,David Webster
Shamrock Rovers FC,Anthony Whelan
Shamrock Rovers FC,Joe Williams
Shamrock Rovers FC,Lee Williams
Shamrock Rovers FC,Dougie Wood
Shamrock Rovers FC,Billy Woods
Shamrock Rovers FC,Larry Wyse
Shamrock Rovers FC,Éamon Zayed
Bohemian FC,Jimmy Aggrey
Bohemian FC,Ismahil Akinade
Bohemian FC,Scott Allardice
Bohemian FC,Paddy Andrews
Bohemian FC,Vinny Arkins
Bohemian FC,Jimmy Balfe
Bohemian FC,John Barnwell
Bohemian FC,Aaron Barry
Bohemian FC,Jason Batty
Bohemian FC,Ashley Bayes
Bohemian FC,Ritchie Bayly
Bohemian FC,Robert Bayly
Bohemian FC,Steven Beattie
Bohemian FC,Ayman Ben Mohamed
Bohemian FC,Jimmy Bermingham
Bohemian FC,Alan Blayney
Bohemian FC,Rob Bowman
Bohemian FC,Austin Brady
Bohemian FC,Kevin Brady
Bohemian FC,Dean Brennan
Bohemian FC,Killian Brennan
Bohemian FC,Ned Brooks
Bohemian FC,Hugh Brophy
Bohemian FC,Willie Browne
Bohemian FC,Robbie Brunton
Bohemian FC,Liam Burns
Bohemian FC,Alan Byrne
Bohemian FC,Des Byrne
Bohemian FC,Eddie Byrne
Bohemian FC,Jason Byrne
Bohemian FC,John Byrne
Bohemian FC,Kurtis Byrne
Bohemian FC,Mick Byrne
Bohemian FC,Pat Byrne
Bohemian FC,Paul Byrne
Bohemian FC,Sam Byrne
Bohemian FC,Sean Byrne
Bohemian FC,Stephen Caffrey
Bohemian FC,Mick Cahill
Bohemian FC,Ollie Cahill
Bohemian FC,Paul Cahill
Bohemian FC,Dave Campbell
Bohemian FC,Harry Cannon
Bohemian FC,Graham Carey
Bohemian FC,Brendan Carroll
Bohemian FC,Joe Cassidy
Bohemian FC,Jackie Clarke
Bohemian FC,Bill Cleary
Bohemian FC,Jimmy Collins
Bohemian FC,Roddy Collins
Bohemian FC,Dave Connell
Bohemian FC,Dylan Connolly
Bohemian FC,John Connolly
Bohemian FC,Michael Connolly
Bohemian FC,Jimmy Conway
Bohemian FC,John Conway
Bohemian FC,Tom Conway
Bohemian FC,Sean Cooney
Bohemian FC,Wayne Cooney
Bohemian FC,Keith Costigan
Bohemian FC,Derek Coughlan
Bohemian FC,Tony Cousins
Bohemian FC,Ernie Crawford
Bohemian FC,Jim Crawford
Bohemian FC,Michael Crawford
Bohemian FC,Glenn Cronin
Bohemian FC,Lorcan Cronin
Bohemian FC,Glen Crowe
